eventdate,tp,jp
20180401,8,2
20180415,7,2
20180422,8,2
20180429,11,2
20180506,10,2
20180513,8,2
20180520,10,2
20180527,9,2
20180603,8,2
20180610,12,3
20180617,7,2
20180624,10,3
20180701,8,2
20180708,3,2
20180715,6,2
20180722,1,1
20180729,8,2
20180805,10,2
20180812,9,2
20180819,12,3
20180826,10,2
20180902,9,3
20180909,12,3
20180916,14,2
20180923,7,2
20181014,16,4
20181021,15,2
20181028,13,2
20181104,12,6
20181111,16,4
20181118,12,5
20181125,13,3
20181202,12,2
20181209,11,2
20181216,13,2
20181230,11,2
20190106,18,3
20190113,26,3
20190120,23,4
20190127,26,3
20190217,15,4
20190224,21,3
20190303,22,6
20190310,21,7
20190317,26,9
20190331,33,10
20190407,26,5
20190414,38,8
20190427,18,1
20190504,25,7
20190512,31,4
20190519,22,4
20190526,15,3
20190602,30,10
20190609,28,6
20190616,30,7
20190623,21,5
20190630,28,5
20190707,30,7
